"userid","otheraffiliations","primary"
"2","Molecular Genetics and Epigenetics Program","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Medical Scientist Training Program","0"
"3","Biotechnology Training Program","0"
"4","ENG",""
"4","Immunology/Immunotherapy Program","0"
"4","Biomedical Engineering","0"
"4","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"4","Training in Cardiovascular Imaging Research","0"
"4","Big Data Training Program","0"
"5","Immunology/Immunotherapy Program","0"
"6","AS",""
"6","Molecular Genetics and Epigenetics Program","0"
"6","Training in Cell and Molecular Biology","0"
"8","AS",""
"8","Chemical and Structural Biology Program","0"
"9","Women's Oncology Program","0"
"10","Women's Oncology Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Training in Cell and Molecular Biology","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Medical Scientist Training Program","0"
"12","Training in Cell and Molecular Biology","0"
"12","Cardiovascular Research Center","0"
"13","DNA Sciences Core Laboratory","0"
"13","Biomolecular Analysis Facility","0"
"14","Cancer Cell Signaling Program","0"
"14","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"14","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"14","Big Data Training Program","0"
"15","Molecular Genetics and Epigenetics Program","0"
"15","Biomedical Engineering",""
"15","Training in Molecular Biophysics","0"
"15","Training in Cell and Molecular Biology","0"
"15","Big Data Training Program","0"
"16","Immunology/Immunotherapy Program","0"
"16","Training in Cell and Molecular Biology","0"
"16","Cancer Research Training in Molecular Biology ","0"
"16","Medical Scientist Training Program","0"
"16","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"16","Beirne Carter Center for Immunology","0"
"16","Interdisciplinary Training Program in Immunology","0"
"16","Infectious Diseases Training Program","0"
"17","Molecular Genetics and Epigenetics Program","0"
"18","Biomedical Engineering",""
"18","Preclinical Tumor Analysis and Imaging","0"
"18","Unaligned Members","0"
"18","Biomedical Engineering","0"
"18","Cardiovascular Research Center","0"
"18","Training in Cardiovascular Imaging Research","0"
"19","Medical Scientist Training Program","0"
"19","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"19","Molecular Genetics and Epigenetics Program","0"
"19","Training in Cell and Molecular Biology","0"
"20","Unaligned Members","0"
"21","Cancer Cell Signaling Program","0"
"21","Basic Cardiovascular Research Training Grant","0"
"21","Medical Scientist Training Program","0"
"21","Short-Term Training to Increase Diversity in Health-Related Research","0"
"22","AS",""
"22","Cancer Cell Signaling Program","0"
"22","Predoctoral Training in Neuroscience","0"
"22","Training in Cell and Molecular Biology","0"
"22","Medical Scientist Training Program","0"
"22","Cell Biology","0"
"22","Biology","0"
"22","Cell Biology","0"
"22","Pathology (Experimental)","0"
"24","Women's Oncology Program","0"
"24","Training in Cell and Molecular Biology","0"
"24","Cancer Research Training in Molecular Biology ","0"
"24","Medical Scientist Training Program","0"
"24","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"24","Interdisciplinary Training Program in Immunology","0"
"25","Medicine- Gastroenterology and Hepatology","0"
"25","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"25","Biodefense Research Training and Career Development","0"
"25","Biotechnology Training","0"
"25","Interdisciplinary Training Program in Immunology","0"
"25","Infectious Diseases Training Program","0"
"25","Kidney Disease and Inflammation","0"
"25","Short-Term Training to Increase Diversity in Health-Related Research","0"
"25","Surgical Infectious Diseases and Transplantation Training Grant","0"
"25","Cardiovascular Research Center","0"
"25","Biotechnology Training Program","0"
"25","Immunology/Immunotherapy Program","0"
"25","Basic Cardiovascular Research Training Grant","0"
"25","Medical Scientist Training Program","0"
"25","Training in the Pharmacological Sciences","0"
"25","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"26","Cancer Cell Signaling Program","0"
"26","Training in Cell and Molecular Biology","0"
"26","Cancer Research Training in Molecular Biology ","0"
"26","Cellular and Physiological Mechanisms in Reproduction","0"
"26","Center for Cell Signaling","0"
"26","Training in the Pharmacological Sciences","0"
"26","Kidney Disease and Inflammation","0"
"26","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"26","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"27","Women's Oncology Program","0"
"27","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"28","Women's Oncology Program","0"
"29","AS",""
"29","Chemical and Structural Biology Program","0"
"29","Training in Molecular Biophysics","0"
"29","Training in Cell and Molecular Biology","0"
"29","Cancer Research Training in Molecular Biology ","0"
"30","Medicine","0"
"30","Immunology/Immunotherapy Program","0"
"30","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"30","Biotechnology Training Program","0"
"30","Medical Scientist Training Program","0"
"30","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"30","Biodefense Research Training and Career Development","0"
"30","Biotechnology Training","0"
"30","Interdisciplinary Training Program in Immunology","0"
"30","Infectious Diseases Training Program","0"
"31","Neurology",""
"31","Cancer Cell Signaling Program","0"
"32","Immunology/Immunotherapy Program","0"
"32","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"33","Immunology/Immunotherapy Program","0"
"33","Cancer Research Training in Molecular Biology ","0"
"33","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"33","Interdisciplinary Training Program in Immunology","0"
"33","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"33","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"35","Medical Scientist Training Program","0"
"35","Training in the Pharmacological Sciences","0"
"35","Short-Term Training to Increase Diversity in Health-Related Research","0"
"35","Chemistry","0"
"35","AS",""
"35","Chemical and Structural Biology Program","0"
"35","Training in Molecular Biophysics","0"
"35","Training in Cell and Molecular Biology","0"
"35","Cancer Research Training in Molecular Biology ","0"
"36","AS",""
"36","Chemical and Structural Biology Program","0"
"36","Training in Molecular Biophysics","0"
"36","Training in Cell and Molecular Biology","0"
"36","Medical Scientist Training Program","0"
"36","Molecular Physiology and Biological Physics","0"
"36","Biophysics","0"
"36","Chemistry","0"
"36","Molecular Physiology","0"
"36","Cancer Center","0"
"37","Unaligned Members","0"
"37","Research Training in Digestive Diseases","0"
"37","Surgical Infectious Diseases and Transplantation Training Grant","0"
"38","Women's Oncology Program","0"
"39","Cancer Cell Signaling Program","0"
"39","Training in Cell and Molecular Biology","0"
"39","Cancer Research Training in Molecular Biology ","0"
"39","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"39","Biodefense Research Training and Career Development","0"
"39","Infectious Diseases Training Program","0"
"39","Research Training in Digestive Diseases","0"
"40","Research Training in Diabetes and Hormone Action","0"
"40","Training in Cell and Molecular Biology","0"
"40","Medical Scientist Training Program","0"
"40","Research Training in Neuroendocrinology","0"
"40","Cancer Cell Signaling Program","0"
"40","Training in Molecular Biophysics","0"
"41","Unaligned Members","0"
"42","Women's Oncology Program","0"
"43","AS",""
"43","Chemical and Structural Biology Program","0"
"44","Women's Oncology Program","0"
"44","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"45","AS",""
"45","Chemical and Structural Biology Program","0"
"45","Training in Molecular Biophysics","0"
"45","Biotechnology Training Program","0"
"45","Training in Cell and Molecular Biology","0"
"45","Molecular Physiology and Biological Physics","0"
"45","Training in the Pharmacological Sciences","0"
"45","Biodefense Research Training and Career Development","0"
"45","Infectious Diseases Training Program","0"
"46","Women's Oncology Program","0"
"46","Kidney Disease and Inflammation","0"
"46","Research Training in Digestive Diseases","0"
"46","Surgical Infectious Diseases and Transplantation Training Grant","0"
"46","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"46","Training in Cardiovascular Imaging Research","0"
"47","Biochemistry and Molecular Genetics","0"
"47","School of Medicine","0"
"48","Immunology/Immunotherapy Program","0"
"49","Cancer Cell Signaling Program","0"
"49","Predoctoral Training in Neuroscience","0"
"49","Training in Cell and Molecular Biology","0"
"49","Training in the Pharmacological Sciences","0"
"49","Medical Scientist Training Program","0"
"49","Neurobiology and Development Training Program","0"
"49","Cell Biology","0"
"49","Biotechnology Training","0"
"49","Short-Term Training to Increase Diversity in Health-Related Research","0"
"50","Cancer Cell Signaling Program","0"
"50","Neuroscience",""
"50","Predoctoral Training in Neuroscience","0"
"51","Women's Oncology Program","0"
"51","Cancer Research Training in Molecular Biology ","0"
"51","Medical Scientist Training Program","0"
"51","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"51","Beirne Carter Center for Immunology","0"
"51","Cancer Center","0"
"51","Pathology (Experimental)","0"
"52","Gastroenterology",""
"52","Immunology/Immunotherapy Program","0"
"53","Molecular Genetics and Epigenetics Program","0"
"53","Cancer Center","0"
"53","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"54","Women's Oncology Program","0"
"55","Hematology and Oncology",""
"56","Medicine","0"
"56","Immunology/Immunotherapy Program","0"
"57","Chemical and Structural Biology Program","0"
"58","AS",""
"58","Chemical and Structural Biology Program","0"
"58","Training in Molecular Biophysics","0"
"58","Biotechnology Training Program","0"
"58","Training in Cell and Molecular Biology","0"
"58","Biophysics","0"
"58","Biochemistry and Molecular Genetics","0"
"59","Cancer Cell Signaling Program","0"
"59","Biotechnology Training Program","0"
"59","Training in Cell and Molecular Biology","0"
"59","Medical Scientist Training Program","0"
"59","Cardiovascular Research Center","0"
"61","Medicine","0"
"61","Immunology/Immunotherapy Program","0"
"62","Preclinical Tumor Analysis and Imaging","0"
"63","Unaligned Members","0"
"64","Women's Oncology Program","0"
"65","Molecular Genetics and Epigenetics Program","0"
"65","Biotechnology Training","0"
"65","Training in Cell and Molecular Biology","0"
"65","Cancer Research Training in Molecular Biology ","0"
"65","Training in the Pharmacological Sciences","0"
"65","Medical Scientist Training Program","0"
"65","Pathology","0"
"65","BIMS-MOMD","0"
"65","BIMS-MSTP","0"
"65","Cancer Center","0"
"65","Biochemistry and Molecular Genetics","0"
"65","Big Data Training Program","0"
"66","Molecular Genetics and Epigenetics Program","0"
"67","Cancer Cell Signaling Program","0"
"68","AS",""
"68","Chemical and Structural Biology Program","0"
"68","Training in Molecular Biophysics","0"
"68","Training in Cell and Molecular Biology","0"
"68","Medical Scientist Training Program","0"
"69","Unaligned Members","0"
"70","Molecular Genetics and Epigenetics Program","0"
"71","Molecular Genetics and Epigenetics Program","0"
"71","Training in Cell and Molecular Biology","0"
"71","Biotechnology Training","0"
"71","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"71","Infectious Diseases Training Program","0"
"72","Immunology/Immunotherapy Program","0"
"72","Basic Cardiovascular Research Training Grant","0"
"72","Biotechnology Training Program","0"
"72","Training in Cell and Molecular Biology","0"
"72","Cancer Research Training in Molecular Biology ","0"
"72","Medical Scientist Training Program","0"
"72","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"72","Interdisciplinary Training Program in Immunology","0"
"72","Kidney Disease and Inflammation","0"
"72","Cardiovascular Research Center","0"
"72","Cancer Center","0"
"72","Beirne Carter Center for Immunology","0"
"72","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"73","Unaligned Members","0"
"74","Immunology/Immunotherapy Program","0"
"74","Training in Cell and Molecular Biology","0"
"74","Medical Scientist Training Program","0"
"74","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"74","Interdisciplinary Training Program in Immunology","0"
"74","Cancer Center","0"
"74","Beirne Carter Center for Immunology","0"
"74","Cancer Center","0"
"75","Medicine","0"
"75","Gastroenterology","0"
"75","Immunology/Immunotherapy Program","0"
"75","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"76","Chemical and Structural Biology Program","0"
"76","Medical Scientist Training Program","0"
"78","Immunology/Immunotherapy Program","0"
"79","Cancer Cell Signaling Program","0"
"80","Molecular Genetics and Epigenetics Program","0"
"80","Training in Cell and Molecular Biology","0"
"80","Cancer Research Training in Molecular Biology ","0"
"80","Medical Scientist Training Program","0"
"80","Cell Biology","0"
"80","Center for Public Health Genomics","0"
"81","Cancer Cell Signaling Program","0"
"81","Cancer Research Training in Molecular Biology ","0"
"81","Cancer Center","0"
"81","Biotechnology Training","0"
"82","Women's Oncology Program","0"
"82","Cancer Center","0"
"83","ENG",""
"83","Chemical and Structural Biology Program","0"
"83","Biomedical Engineering","0"
"83","Biotechnology Training Program","0"
"84","Unaligned Members","0"
"85","Medicine","0"
"85","Immunology/Immunotherapy Program","0"
"85","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"85","Medical Scientist Training Program","0"
"85","Interdisciplinary Training Program in Immunology","0"
"85","Kidney Disease and Inflammation","0"
"85","Medicine- Nephrology","0"
"86","Medicine","0"
"86","Gastroenterology",""
"86","Cancer Cell Signaling Program","0"
"86","Biomedical Engineering",""
"86","Pharmacology",""
"87","Pharmacology","0"
"88","Hematology and Oncology",""
"88","Molecular Genetics and Epigenetics Program","0"
"89","Cancer Cell Signaling Program","0"
"89","Cancer Research Training in Molecular Biology ","0"
"90","Immunology/Immunotherapy Program","0"
"90","MOMD","0"
"90","MCDB","0"
"90","MII","0"
"90","Training in Cell and Molecular Biology","0"
"90","Cancer Research Training in Molecular Biology ","0"
"90","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"90","Biodefense Research Training and Career Development","0"
"90","Medical Scientist Training Program","0"
"90","Infectious Diseases Training Program","0"
"90","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"91","Immunology/Immunotherapy Program","0"
"91","Cancer Research Training in Molecular Biology ","0"
"91","Training in the Pharmacological Sciences","0"
"91","Medical Scientist Training Program","0"
"91","Short-Term Training to Increase Diversity in Health-Related Research","0"
"92","Women's Oncology Program","0"
"93","Cancer Cell Signaling Program","0"
"93","Neuroscience",""
"93","Predoctoral Training in Neuroscience","0"
