"userid","otheraffiliations","primary"
"2","Training in Cell and Molecular Biology","0"
"2","Cancer Research Training in Molecular Biology ","0"
"2","Biochemistry and Molecular Genetics","0"
"2","Molecular Genetics and Epigenetics Program","0"
"2","Training in Cell and Molecular Biology","0"
"2","Molecular Genetics and Epigenetics Program","0"
"2","Cancer Research Training in Molecular Biology ","0"
"2","Training in Cell and Molecular Biology","0"
"2","Biochemistry and Molecular Genetics","0"
"2","Cancer Research Training in Molecular Biology ","0"
"2","Biochemistry and Molecular Genetics","0"
"2","Molecular Genetics and Epigenetics Program","0"
"2","Training in Cell and Molecular Biology","0"
"2","Cancer Research Training in Molecular Biology ","0"
"2","Biochemistry and Molecular Genetics","0"
"2","Molecular Genetics and Epigenetics Program","0"
"3","Training in Cell and Molecular Biology","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Medical Scientist Training Program","0"
"3","Biotechnology Training Program","0"
"3","Training in Cell and Molecular Biology","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Medical Scientist Training Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Biotechnology Training Program","0"
"3","Medical Scientist Training Program","0"
"3","Training in Cell and Molecular Biology","0"
"3","Biotechnology Training Program","0"
"3","Training in Cell and Molecular Biology","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Medical Scientist Training Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Molecular Genetics and Epigenetics Program","0"
"3","Biotechnology Training Program","0"
"3","Medical Scientist Training Program","0"
"3","Cancer Research Training in Molecular Biology ","0"
"3","Training in Cell and Molecular Biology","0"
"3","Biotechnology Training Program","0"
"3","Medical Scientist Training Program","0"
"3","Training in Cell and Molecular Biology","0"
"3","Biotechnology Training Program","0"
"6","Arts & Sciences",""
"6","Molecular Genetics and Epigenetics Program","0"
"6","Training in Cell and Molecular Biology","0"
"6","Cell Biology","0"
"6","Arts & Sciences",""
"6","Molecular Genetics and Epigenetics Program","0"
"6","Training in Cell and Molecular Biology","0"
"6","Cell Biology","0"
"6","Arts & Sciences",""
"6","Molecular Genetics and Epigenetics Program","0"
"6","Arts & Sciences",""
"6","Training in Cell and Molecular Biology","0"
"6","Molecular Genetics and Epigenetics Program","0"
"6","Cell Biology","0"
"6","Training in Cell and Molecular Biology","0"
"6","Cell Biology","0"
"8","Arts & Sciences",""
"8","Chemical and Structural Biology Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Training in Cell and Molecular Biology","0"
"11","Training in Cell and Molecular Biology","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Medical Scientist Training Program","0"
"11","Medical Scientist Training Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Training in Cell and Molecular Biology","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Medical Scientist Training Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Training in Cell and Molecular Biology","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Medical Scientist Training Program","0"
"11","Molecular Genetics and Epigenetics Program","0"
"11","Training in Cell and Molecular Biology","0"
"11","Cancer Research Training in Molecular Biology ","0"
"11","Medical Scientist Training Program","0"
"12","Training in Cell and Molecular Biology","0"
"12","Cardiovascular Research Center","0"
"12","Training in Cell and Molecular Biology","0"
"12","Cardiovascular Research Center","0"
"12","Training in Cell and Molecular Biology","0"
"12","Cardiovascular Research Center","0"
"12","Training in Cell and Molecular Biology","0"
"12","Training in Cell and Molecular Biology","0"
"12","Cardiovascular Research Center","0"
"12","Cardiovascular Research Center","0"
"15","Molecular Genetics and Epigenetics Program","0"
"15","Biomedical Engineering",""
"15","Molecular Genetics and Epigenetics Program","0"
"15","Training in Molecular Biophysics","0"
"15","Biomedical Engineering",""
"15","Training in Cell and Molecular Biology","0"
"15","Training in Molecular Biophysics","0"
"15","Transdisciplinary Big Data Science Training at UVA","0"
"15","Training in Cell and Molecular Biology","0"
"15","Molecular Physiology and Biological Physics","0"
"15","Molecular Genetics and Epigenetics Program","0"
"15","Transdisciplinary Big Data Science Training at UVA","0"
"15","Biomedical Engineering",""
"15","Training in Molecular Biophysics","0"
"15","Molecular Physiology and Biological Physics","0"
"15","Training in Cell and Molecular Biology","0"
"15","Transdisciplinary Big Data Science Training at UVA","0"
"15","Molecular Physiology and Biological Physics","0"
"15","Molecular Genetics and Epigenetics Program","0"
"15","Biomedical Engineering",""
"15","Molecular Genetics and Epigenetics Program","0"
"15","Training in Molecular Biophysics","0"
"15","Biomedical Engineering",""
"15","Training in Cell and Molecular Biology","0"
