"userid","degrees"
"2", "<li>BA&#44; Biology&#44; Hunter College&#44; City University of New York&#44; NY</li><li>MA&#44; Cancer Biology&#44; Hunter College&#44; City University of New York&#44; NY</li><li>MPH&#44; Cancer Biology&#44; The Graduate Center&#44; (CUNY)&#44; NY</li><li>PhD&#44; City University of New York&#44; Hunter College</li>"
"3", "<li>BS&#44; Biology&#44; American University of Beirut&#44; Lebanon</li><li>MD&#44; Medicine&#44; University of Heidelberg&#44; Germany</li><li>PhD&#44; Physiology&#44; University of Heidelberg&#44; Germany</li>"
"6", "<li>BS&#44; Biology&#44; Carnegie Mellon University&#44; Pittsburgh&#44; PA</li><li>MA&#44; Biology&#44; Boston University</li><li>PhD&#44; Cell Biology&#44; MIT&#44; Cambridge&#44; MA</li>"
"8", "<li>BS&#44; Biochemistry and Molecular Biology&#44; University of Newcastle upon Tyne&#44; England</li><li>MPH&#44; Biochemistry&#44; University of Cambridge&#44; Cambridge&#44; England</li><li>PhD&#44; Biochemistry&#44; University of Cambridge&#44; Cambridge&#44; England</li><li>Postdoc&#44; Biochemistry&#44; University of Maryland&#44; Baltimore&#44; Maryland</li><li>Postdoc&#44; Biochemistry and Molecular Biology&#44; University of Rochester&#44; Rochester&#44; New York</li>"
"11", "<li>AB&#44; Biochemistry&#44; Bowdoin College</li><li>PhD&#44; Biochemistry&#44; Case Western Reserve University</li><li>Postdoc&#44; Molecular Biology&#44; Fred Hutchinson Cancer Research Center</li>"
"12", "<li>BS&#44; Biochemistry&#44; Queen Elizabeth College&#44; Univ. of London&#44; London&#44; England</li><li>PhD&#44; Biochemistry&#44; University of London&#44; London&#44; England</li><li>Postdoc&#44; Biochemistry&#44; University of Washington&#44; Seattle&#44; Washington</li>"
"15", "<li>BS&#44; Microwave Engineering&#44; University of California&#44; Los Angeles</li><li>PhD&#44; Statistical Physics&#44; University of California&#44; Santa Barbara</li><li>Postdoc&#44; Statistical Physics&#44; University of Maryland</li><li>Postdoc&#44; Computational Biology&#44; The Rockefeller University</li>"
"16", "<li>BA&#44; Biology&#44; Albion College</li><li>MS&#44; Epidemiology&#44; The University of Michigan&#44; Ann Arbor&#44; MI</li><li>PhD&#44; Microbiology and Immunology&#44; The University of Michigan&#44; Ann Arbor&#44; MI</li>"
"18", "<li>BA&#44; Chemistry&#44; Grinnell College&#44; Grinnell&#44; IA</li><li>PhD&#44; Physical Chemistry&#44; Wake Forest University&#44; Winston-Salem&#44; NC&#44; Oak Ridge National Laboratory&#44; Oak Ridge&#44; TN</li><li>Postdoc&#44; Chemistry &#44; University of Virginia</li><li>Postdoc&#44; Cardiology and Radiology&#44; University of Virginia</li>"
"19", "<li>BS&#44; Biochemistry&#44; Centre College</li><li>PhD&#44; Molecular Biology&#44; Vanderbilt University; Nashville TN</li><li>Postdoc&#44; Molecular Biology&#44; University of Virginia</li>"
"22", "<li>BA&#44; Biology&#44; History&#44; University of Pennsylvania</li><li>PhD&#44; Biology&#44; University of Pennsylvania</li><li>Postdoc&#44; Cell Biology&#44; University of North Carolina</li><li>Postdoc&#44; Cell Biology&#44; Worcester Foundation for Exp. Biol</li>"
"24", "<li>ScB&#44; Biology&#44; Brown University</li><li>PhD&#44; Microbiology&#44; University of Virginia</li><li>Postdoc&#44; Signal Transduction&#44; University of Virginia</li>"
"25", "<li>BS&#44; Biology&#44; St. Joseph's College&#44; Philadelphia&#44; PA</li><li>MD&#44; Medicine and Immunology&#44; Univ. of Pennsylvania&#44; Philadelphia&#44; PA</li><li>PhD&#44; Medicine and Immunology&#44; Univ. of Pennsylvania&#44; Philadelphia&#44; PA</li><li>Residency&#44; Pathology&#44; Barnes Hospital (Washington Univ.) St. Louis&#44; MO</li><li>Postdoc&#44; Immunology and Virology&#44; Australian National University&#44; Canberra&#44; Australia</li>"
"26", "<li>BA&#44; Chemistry&#44; Kalamazoo College&#44; Kalamazoo&#44; MI</li><li>MS&#44; Chemistry&#44; Northwestern University&#44; Evanston&#44; IL</li><li>PhD&#44; Biochemistry&#44; Northwestern University&#44; Evanston&#44; IL</li><li>Postdoc&#44; Biochemistry&#44; University of Washington School of Medicine&#44; Seattle&#44; WA</li>"
"29", "<li>BA&#44; Biology&#44; Johns Hopkins University&#44; Baltimore&#44; MD</li><li>PhD&#44; Biochemistry&#44; Harvard University&#44; Cambridge&#44; MA</li><li>Postdoc&#44; Molecular Biology&#44; MRC Lab of Molecular Biology&#44; Cambridge UK</li>"
"30", "<li>BS&#44; Biochemistry&#44; Virginia Tech University</li><li>PhD&#44; Immunology&#44; Medical College of Virginia&#44; Virginia Commonwealth University</li><li>Postdoc&#44; Immunology&#44; Mount Sinai School of Medicine</li><li>Postdoc&#44; Immunology&#44; Washington University</li>"
"33", "<li>PhD&#44; Thomas Jefferson University</li>"
"34", "<li>PhD&#44; John Hopkins University</li>"
"35", "<li>BA&#44; Chemistry&#44; Dartmouth College</li><li>PhD&#44; Chemistry&#44; University of California&#44; Berkeley&#44; CA</li><li>Postdoc&#44; Eidgenössische Technische Hochschule&#44; Zürich&#44; Switzerland</li>"
"36", "<li>AB&#44; Biophysics&#44; University of California&#44; Berkeley&#44; CA</li><li>PhD&#44; Biophysics&#44; University of California&#44; Berkeley&#44; CA</li><li>Postdoc&#44; University of California&#44; Berkeley&#44; CA</li><li>Postdoc&#44; Stanford University</li>"
