"userid","primary"
"2","Radiation Oncology"
"2","Radiation Oncology"
"2","Radiation Oncology"
"2","Radiation Oncology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"3","Microbiology&#44; Immunology&#44; and Cancer Biology"
"6","Biology"
"6","Biology"
"6","Biology"
"6","Biology"
"8","Molecular Physiology and Biological Physics"
"11","Biochemistry and Molecular Genetics"
"11","Biochemistry and Molecular Genetics"
"11","Biochemistry and Molecular Genetics"
"11","Biochemistry and Molecular Genetics"
"11","Biochemistry and Molecular Genetics"
"12","Orthopaedic Surgery"
"12","Orthopaedic Surgery"
"12","Orthopaedic Surgery"
"12","Orthopaedic Surgery"
"12","Orthopaedic Surgery"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"15","Biochemistry and Molecular Genetics"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"16","Microbiology&#44; Immunology&#44; and Cancer Biology"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Medical Imaging"
"18","Radiology and Medical Imaging"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Medical Imaging"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Medical Imaging"
"18","Radiology and Medical Imaging"
"18","Radiology and Biomedical Engineering"
"18","Radiology and Medical Imaging"
"22","Biology"
"22","Biology"
"22","Biology"
"22","Biology"
"22","Biology"
"22","Biology"
"24","Microbiology&#44; Immunology&#44; and Cancer Biology"
"24","Microbiology&#44; Immunology&#44; and Cancer Biology"
"24","Microbiology&#44; Immunology&#44; and Cancer Biology"
"24","Microbiology&#44; Immunology&#44; and Cancer Biology"
"24","Microbiology&#44; Immunology&#44; and Cancer Biology"
"25","Pathology"
"25","Pathology"
"25","Pathology"
"25","Pathology"
"25","Pathology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"26","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"29","Microbiology&#44; Immunology&#44; and Cancer Biology"
"30","Medicine: Nephrology"
"30","Medicine: Nephrology"
"30","Medicine: Nephrology"
"30","Medicine: Nephrology"
"30","Medicine: Nephrology"
"30","Medicine: Nephrology"
"33","Pathology"
"33","Pathology"
"33","Pathology"
"33","Pathology"
"33","Pathology"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"35","Molecular Physiology and Biological Physics"
"36","Chemistry"
"36","Chemistry"
"36","Chemistry"
"36","Chemistry"
"36","Chemistry"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"39","Cell Biology"
"40","Cell Biology"
"40","Cell Biology"
"40","Cell Biology"
"45","Chemistry"
