"userid","researchdiscipline"
"2",Cancer Biology
"2",Molecular Biology
"2",Biochemistry
"2",Genetics
"3",Translational Science
"3",Cancer Biology
"3",Epigenetics
"3",Molecular Biology
"6",
"6",Genetics
"6",Cell and Developmental Biology
"8",
"11",Bioinformatics and Genomics
"11",Biochemistry
"11",Epigenetics
"11",Molecular Biology
"11",Genetics
"15",Molecular Biology
"15",Bioinformatics and Genomics
"15",Translational Science
"15",Computational Biology
"15",Cancer Biology
"15",Epigenetics
"15",Biophysics
"16",Cancer Biology
"16",Molecular Biology
"16",Bioinformatics and Genomics
"16",Epigenetics
"16",Infectious Diseases/Biodefense
"16",Genetics
"16",Immunology
"16",Microbiology
"18",Metabolism
"18",Cancer Biology
"18",Translational Science
"18",Cell and Developmental Biology
"18",Biochemistry
"18",Molecular Pharmacology
"22",Experimental Pathology
"22",
"22",Neuroscience
"22",Neuroimmunology
"22",Cell and Developmental Biology
"22",Biochemistry
"24",Immunology
"24",Cancer Biology
"24",Molecular Biology
"24",Translational Science
"25",Immunology
"25",Infectious Diseases/Biodefense
"25",Cardiovascular Biology
"26",Biochemistry
"26",Molecular Pharmacology
"26",Cancer Biology
"26",Molecular Biology
"26",Structural Biology
"29",Structural Biology
"29",Computational Biology
"29",Molecular Biology
"29",Microbiology
"29",Cancer Biology
"29",
"29",Bioinformatics and Genomics
"30",Infectious Diseases/Biodefense
"30",Bioinformatics and Genomics
"30",Genetics
"30",Microbiology
"30",Immunology
"33",Experimental Pathology
"33",Infectious Diseases/Biodefense
"33",Immunology
"33",Cancer Biology
"33",Translational Science
"35",Biochemistry
"35",Biophysics
"35",
"35",Physiology
"35",Cancer Biology
"35",Molecular Pharmacology
"35",Translational Science
"36",
"36",Structural Biology
"36",Biophysics
"36",Biochemistry
"39",Immunology
"39",Experimental Pathology
"39",Cancer Biology
"39",Cell and Developmental Biology
"39",Microbiology
"39",Infectious Diseases/Biodefense
"40",Biophysics
"40",Cell and Developmental Biology
"43",
"45",Biochemistry
"45",
"45",Structural Biology
"45",Biophysics
"49",Cell and Developmental Biology
"50",Neuroscience
"50",Molecular Pharmacology
"50",Structural Biology
"50",Biochemistry
"51",Molecular Biology
"51",Immunology
"51",Experimental Pathology
"51",Cancer Biology
"51",Translational Science
"51",Biochemistry
"58",Structural Biology
"58",Molecular Biology
"58",Biophysics
"58",Physiology
"58",
"58",Biochemistry
