"userid","trainingprogram"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Biodefense Research Training and Career Development"
"","Biotechnology Training Program"
"","Basic Cardiovascular Research Training Grant"
"","Biodefense Research Training and Career Development"
"","Interdisciplinary Training Program in Immunology"
"","Global Infectious Disease Research Training Grant at UVa"
"","Basic Cardiovascular Research Training Grant"
"","Biodefense Research Training and Career Development"
"","Interdisciplinary Training Program in Immunology"
"","Infectious Diseases Training Program"
"","Basic Cardiovascular Research Training Grant"
"","Global Infectious Disease Research Training Grant at UVa"
"","Biodefense Research Training and Career Development"
"","Cancer Research Training in Molecular Biology"
"","Infectious Diseases Training Program"
"","Cancer Research Training in Molecular Biology"
"","Infectious Diseases Training Program"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Biodefense Research Training and Career Development"
"","Global Infectious Disease Research Training Program"
"","Biodefense Research Training and Career Development"
"","Global Infectious Disease Research Training Program"
"","Interdisciplinary Training Program in Immunology"
"","Global Infectious Disease Research Training Program"
"","Infectious Diseases Training Program"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Predoctoral Training in Neuroscience"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Basic Cardiovascular Research Training Grant"
"","Interdisciplinary Training Program in Immunology"
"","Basic Cardiovascular Research Training Grant"
"","Global Infectious Disease Research Training Grant at UVa"
"","Global Infectious Disease Research Training Grant at UVa"
"","Basic Cardiovascular Research Training Grant"
"","Global Infectious Disease Research Training Grant at UVa"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Interdisciplinary Training Program in Immunology"
"","Interdisciplinary Training Program in Immunology"
"","Training in the Pharmacological Sciences"
"","Biodefense & Infectious Diseases Short Term Training for Minority Students"
"","Basic Cardiovascular Research Training Grant"
"2","Cancer Research Training in Molecular Biology"
"2","Cancer Research Training in Molecular Biology"
"2","Cancer Research Training in Molecular Biology"
"2","Cancer Research Training in Molecular Biology"
"2","Training in Cell and Molecular Biology"
"2","Training in Cell and Molecular Biology"
"2","Training in Cell and Molecular Biology"
"2","Training in Cell and Molecular Biology"
"3","Biotechnology Training Program"
"3","Biotechnology Training Program"
"3","Biotechnology Training Program"
"3","Biotechnology Training Program"
"3","Biotechnology Training Program"
"3","Biotechnology Training Program"
"3","Cancer Research Training in Molecular Biology"
"3","Cancer Research Training in Molecular Biology"
"3","Cancer Research Training in Molecular Biology"
"3","Cancer Research Training in Molecular Biology"
"3","Cancer Research Training in Molecular Biology"
"3","Cancer Research Training in Molecular Biology"
"3","Training in Cell and Molecular Biology"
